patientId,siteId,age,gender,species,enrollmentDate,status,treatment,WBC,RBC,Hemoglobin,Hematocrit,Platelets,Glucose,BUN,Creatinine,ALT,AST,XRayScore,XRayFindings,medication,medicationName,dosage,frequency,administered,amount,cost,payment,balance,paymentStatus
VET032,CLINIC-001,5,F,Cat,2024-04-18,Active,Control,7.4,5.7,12.3,36.0,238000,90,17,1.1,41,35,2,Normal,Clindamycin,Clindamycin 25mg,25mg,Twice daily,yes,108.00,108.00,108.00,0.00,Paid
VET033,CLINIC-003,7,M,Dog,2024-04-20,Completed,Control,9.2,6.5,15.2,45.0,295000,101,20,1.4,48,41,3,Clear,None,None,0mg,None,no,230.00,230.00,230.00,0.00,Paid
VET034,CLINIC-002,3,F,Cat,2024-04-22,Active,Treatment A,6.7,5.4,11.5,34.5,228000,84,15,0.9,36,31,1,Minor inflammation,Amoxicillin,Amoxicillin 125mg,125mg,Twice daily,yes,98.00,98.00,70.00,28.00,Pending
VET035,CLINIC-001,9,M,Dog,2024-04-25,Active,Treatment B,11.0,7.2,17.0,50.0,345000,114,25,1.7,58,51,2,Normal,Enrofloxacin,Enrofloxacin 100mg,100mg,Once daily,yes,195.00,195.00,0.00,195.00,Unpaid
VET036,CLINIC-004,4,F,Cat,2024-05-01,Active,Control,7.7,5.8,12.6,37.5,252000,93,18,1.2,43,37,2,Normal,Metronidazole,Metronidazole 50mg,50mg,Once daily,yes,94.00,94.00,94.00,0.00,Paid
VET037,CLINIC-002,6,M,Dog,2024-05-05,Completed,Treatment A,8.8,6.3,14.5,42.5,280000,100,20,1.4,47,40,3,Clear,Clindamycin,Clindamycin 50mg,50mg,Twice daily,yes,135.00,135.00,135.00,0.00,Paid
VET038,CLINIC-001,2,F,Cat,2024-05-08,Active,Control,6.6,5.3,11.3,33.5,217000,81,15,0.9,35,30,1,Minor inflammation,Amoxicillin,Amoxicillin 125mg,125mg,Twice daily,yes,102.00,102.00,0.00,102.00,Unpaid
VET039,CLINIC-003,8,M,Dog,2024-05-10,Active,Treatment B,10.5,6.9,16.8,49.0,335000,109,23,1.6,54,47,2,Normal,Enrofloxacin,Enrofloxacin 50mg,50mg,Once daily,yes,172.00,172.00,172.00,0.00,Paid
VET040,CLINIC-003,5,F,Cat,2024-05-12,Completed,Control,7.9,5.9,12.8,38.0,260000,94,19,1.3,44,38,3,Clear,Metronidazole,Metronidazole 25mg,25mg,Once daily,yes,86.00,86.00,86.00,0.00,Paid
VET041,CLINIC-002,11,M,Dog,2024-05-15,Active,Treatment A,11.2,7.4,17.8,52.0,355000,116,27,1.9,62,54,1,Minor inflammation,Clindamycin,Clindamycin 50mg,50mg,Twice daily,yes,148.00,148.00,148.00,0.00,Paid
VET042,CLINIC-001,3,F,Cat,2024-05-18,Active,Treatment B,6.8,5.5,11.6,34.0,232000,83,16,1.0,38,33,2,Normal,Amoxicillin,Amoxicillin 250mg,250mg,Twice daily,yes,152.00,152.00,100.00,52.00,Pending
VET043,CLINIC-003,7,M,Dog,2024-05-20,Completed,Control,9.0,6.4,15.0,44.0,288000,99,20,1.4,46,39,3,Clear,None,None,0mg,None,no,225.00,225.00,225.00,0.00,Paid
VET044,CLINIC-002,4,F,Cat,2024-05-22,Active,Treatment A,7.2,5.6,12.1,35.5,242000,89,17,1.1,40,35,2,Normal,Enrofloxacin,Enrofloxacin 50mg,50mg,Once daily,yes,168.00,168.00,168.00,0.00,Paid
VET045,CLINIC-001,10,M,Dog,2024-05-25,Active,Control,10.8,7.1,16.2,47.5,318000,111,24,1.6,56,49,1,Minor inflammation,Clindamycin,Clindamycin 25mg,25mg,Twice daily,yes,112.00,112.00,0.00,112.00,Unpaid
VET046,CLINIC-004,6,F,Cat,2024-06-01,Active,Treatment B,8.0,6.0,13.0,38.5,265000,96,19,1.3,45,39,2,Normal,Metronidazole,Metronidazole 50mg,50mg,Once daily,yes,96.00,96.00,96.00,0.00,Paid
VET047,CLINIC-002,5,M,Dog,2024-06-05,Completed,Treatment A,9.5,6.6,15.5,45.5,300000,104,21,1.5,50,43,3,Clear,Amoxicillin,Amoxicillin 250mg,250mg,Twice daily,yes,162.00,162.00,162.00,0.00,Paid
VET048,CLINIC-001,2,F,Cat,2024-06-08,Active,Control,6.5,5.2,10.9,32.5,208000,77,13,0.7,31,27,1,Minor inflammation,Enrofloxacin,Enrofloxacin 50mg,50mg,Once daily,yes,178.00,178.00,0.00,178.00,Unpaid
VET049,CLINIC-003,8,M,Dog,2024-06-10,Active,Treatment B,10.2,6.8,16.0,47.0,322000,107,22,1.5,52,45,2,Normal,Clindamycin,Clindamycin 50mg,50mg,Twice daily,yes,142.00,142.00,142.00,0.00,Paid
VET050,CLINIC-003,4,F,Cat,2024-06-12,Completed,Control,7.6,5.7,12.4,36.5,248000,91,18,1.2,42,36,3,Clear,Metronidazole,Metronidazole 25mg,25mg,Once daily,yes,89.00,89.00,89.00,0.00,Paid
