patientId,siteId,age,gender,species,date,status,treatment,WBC,RBC,Hemoglobin,Hematocrit,Platelets,Glucose,BUN,Creatinine,ALT,AST,medication,medicationName,dosage,frequency,administered,amount,cost,payment,balance,paymentStatus,service
VET006,CLINIC-003,4,F,Cat,2024-03-01,Active,Control,7.4,5.7,12.6,36.5,245000,93,17,1.12,42,32,None,None,0mg,None,true,80.00,64.00,80.00,0.00,Paid,Check-up
VET007,CLINIC-002,7,M,Dog,2024-02-05,Completed,Treatment A,8.8,6.3,14.8,43.0,270000,100,19,1.3,47,37,Cephalexin,Cephalexin 500mg,500mg,Twice daily,true,220.00,176.00,220.00,0.00,Paid,Surgery
VET007,CLINIC-002,7,M,Dog,2024-03-05,Completed,Treatment A,9.0,6.4,15.0,43.5,275000,102,20,1.32,49,39,Cephalexin,Cephalexin 500mg,500mg,Twice daily,true,90.00,72.00,90.00,0.00,Paid,Follow-up
VET008,CLINIC-003,3,F,Cat,2024-02-08,Active,Control,6.8,5.4,11.0,33.0,210000,82,13,0.85,35,25,Doxycycline,Doxycycline 50mg,50mg,Once daily,true,160.00,128.00,160.00,0.00,Paid,Consultation
VET008,CLINIC-003,3,F,Cat,2024-03-08,Active,Control,7.0,5.5,11.2,33.5,215000,84,14,0.88,37,27,Doxycycline,Doxycycline 50mg,50mg,Once daily,true,70.00,56.00,50.00,20.00,Partial,Follow-up
VET009,CLINIC-001,9,M,Dog,2024-02-10,Active,Treatment B,11.2,7.2,17.0,50.0,350000,115,24,1.6,60,50,Carprofen,Carprofen 75mg,75mg,Twice daily,true,280.00,224.00,250.00,30.00,Partial,Arthritis Treatment
VET009,CLINIC-001,9,M,Dog,2024-03-10,Active,Treatment B,11.0,7.1,16.8,49.5,345000,113,23,1.58,58,48,Carprofen,Carprofen 75mg,75mg,Twice daily,true,120.00,96.00,120.00,0.00,Paid,Follow-up
VET010,CLINIC-003,5,F,Cat,2024-02-12,Completed,Treatment A,7.5,5.7,12.8,37.0,260000,94,17,1.15,44,34,None,None,0mg,None,true,140.00,112.00,140.00,0.00,Paid,Spay Surgery
VET010,CLINIC-003,5,F,Cat,2024-03-12,Completed,Treatment A,7.7,5.8,13.0,37.5,265000,95,18,1.18,45,35,None,None,0mg,None,true,85.00,68.00,85.00,0.00,Paid,Post-op Check
VET011,CLINIC-002,4,M,Dog,2024-02-15,Active,Control,8.0,6.0,14.0,41.0,250000,97,18,1.2,46,36,Amoxicillin,Amoxicillin 250mg,250mg,Twice daily,true,170.00,136.00,170.00,0.00,Paid,Infection Treatment
VET011,CLINIC-002,4,M,Dog,2024-03-15,Active,Control,8.2,6.1,14.2,41.5,255000,99,19,1.22,47,37,Amoxicillin,Amoxicillin 250mg,250mg,Twice daily,true,75.00,60.00,75.00,0.00,Paid,Follow-up
VET012,CLINIC-001,6,F,Cat,2024-02-18,Active,Treatment A,7.0,5.5,11.8,34.0,230000,86,15,0.95,39,29,Metronidazole,Metronidazole 100mg,100mg,Once daily,true,190.00,152.00,150.00,40.00,Partial,Gastrointestinal
VET012,CLINIC-001,6,F,Cat,2024-03-18,Active,Treatment A,7.2,5.6,12.0,34.5,235000,88,16,0.98,41,31,Metronidazole,Metronidazole 100mg,100mg,Once daily,true,65.00,52.00,25.00,40.00,Partial,Follow-up
VET013,CLINIC-003,10,M,Dog,2024-02-20,Completed,Control,9.5,6.8,15.5,46.0,310000,104,21,1.4,51,41,None,None,0mg,None,true,320.00,256.00,320.00,0.00,Paid,Senior Wellness
VET013,CLINIC-003,10,M,Dog,2024-03-20,Completed,Control,9.7,6.9,15.7,46.5,315000,106,22,1.42,53,43,None,None,0mg,None,true,110.00,88.00,110.00,0.00,Paid,Follow-up
VET014,CLINIC-002,2,F,Cat,2024-02-22,Active,Treatment B,6.2,5.2,10.8,32.0,200000,80,12,0.8,33,23,Clindamycin,Clindamycin 75mg,75mg,Twice daily,true,210.00,168.00,210.00,0.00,Paid,Respiratory Infection
VET014,CLINIC-002,2,F,Cat,2024-03-22,Active,Treatment B,6.5,5.3,11.0,32.5,205000,82,13,0.82,35,25,Clindamycin,Clindamycin 75mg,75mg,Twice daily,true,70.00,56.00,70.00,0.00,Paid,Follow-up
VET015,CLINIC-001,7,M,Dog,2024-02-25,Active,Control,9.0,6.4,14.5,42.0,280000,101,20,1.35,48,38,Enrofloxacin,Enrofloxacin 100mg,100mg,Once daily,true,240.00,192.00,200.00,40.00,Partial,Urinary Tract
VET015,CLINIC-001,7,M,Dog,2024-03-25,Active,Control,9.2,6.5,14.7,42.5,285000,103,21,1.38,50,40,Enrofloxacin,Enrofloxacin 100mg,100mg,Once daily,true,95.00,76.00,55.00,40.00,Partial,Follow-up
